0,1647
1,1561
2,1652
3,1674
4,1691
5,1656
6,1832
7,1807
8,1831
9,1814
10,1846
11,1887
12,2045
13,1909
14,1911
15,2118
16,1948
17,2070
18,1848
19,1989
20,1975
21,1967
22,1964
23,1986
24,1924
25,1956
26,2062
27,2009
28,1845
29,2006
30,1910
31,1807
32,1884
33,1881
34,1902
35,1901
36,1842
37,2005
38,1958
39,2007
40,1982
41,2031
42,2009
43,1950
44,1994
45,2005
46,1900
47,1966
48,2016
52,1693
53,2069
54,2103
55,2067
57,2021
59,2134
60,2140
61,2237
62,2184
63,2205
64,2180
65,2223
66,2158
67,2248
68,2216
69,2248
70,2173
71,2206
72,2220
73,2302
74,2203
75,2227
76,2241
77,2200
78,2155
79,2145
80,2075
81,2038
82,2013
83,2102
84,2064
85,2022
87,1957
88,1865
89,1872
90,1975
91,2111
92,1956
94,1871
95,2030
96,2001
97,1886
106,2573
107,2343
109,2253
110,2270
111,2261
113,2362
114,2311
115,2299
116,2380
117,2298
118,2228
119,2382
120,2344
121,2411
122,2323
123,2329
124,2304
125,2240
126,2325
127,2333
128,2237
129,2301
130,2327
131,2329
132,2320
133,2231
134,2320
135,2261
136,2226
137,2229
138,2171
139,2291
